NextprotID,Anchor,GeneName,Chr,ProteinEvidence,PE,Missing
NX_Q8N1G4,,LRRC47,1,protein level,PE1,0
NX_O60308,,CEP104,1,protein level,PE1,0
NX_O76075,,DFFB,1,protein level,PE1,0
NX_Q8IYL3,,C1orf174,1,protein level,PE1,0
NX_Q9UKB5,,AJAP1,1,protein level,PE1,0
NX_O75161,,NPHP4,1,protein level,PE1,0
NX_Q13303,,KCNAB2,1,protein level,PE1,0
NX_Q8TDI0,,CHD5,1,protein level,PE1,0
NX_P35268,,RPL22,1,protein level,PE1,0
NX_Q6ZRF8,,RNF207,1,transcript level,PE2,1
NX_O60725,,ICMT,1,protein level,PE1,0
NX_Q8N6G1,,LINC00337,1,transcript level,PE2,1
NX_Q5TGS1,,HES3,1,transcript level,PE2,1
NX_Q6NV75,,GPR153,1,transcript level,PE2,1
NX_O00154,,ACOT7,1,protein level,PE1,0
NX_Q9Y543,,HES2,1,transcript level,PE2,1
NX_B1AK53,,ESPN,1,protein level,PE1,0
NX_Q93038,,TNFRSF25,1,protein level,PE1,0
NX_O94827,,PLEKHG5,1,protein level,PE1,0
NX_Q5SY16,,NOL9,1,protein level,PE1,0
NX_Q7RTX1,,TAS1R1,1,transcript level,PE2,1
NX_P10074,,ZBTB48,1,protein level,PE1,0
NX_Q9UJP4,,KLHL21,1,protein level,PE1,0
NX_Q86YI8,,PHF13,1,protein level,PE1,0
NX_Q8WTV1,,THAP3,1,protein level,PE1,0
NX_Q9NVH1,,DNAJC11,1,protein level,PE1,0
NX_Q9Y6Y1,,CAMTA1,1,protein level,PE1,0
NX_Q15836,,VAMP3,1,protein level,PE1,0
NX_P56645,,PER3,1,protein level,PE1,0
NX_O95399,,UTS2,1,protein level,PE1,0
NX_Q07011,,TNFRSF9,1,protein level,PE1,0
NX_Q99497,,PARK7,1,protein level,PE1,0
NX_Q9UJM3,,ERRFI1,1,protein level,PE1,0
NX_Q9Y2W3,,SLC45A1,1,transcript level,PE2,1
NX_Q9P2R6,,RERE,1,protein level,PE1,0
NX_P06733,,ENO1,1,protein level,PE1,0
NX_P23280,,CA6,1,protein level,PE1,0
NX_Q6PXP3,,SLC2A7,1,transcript level,PE2,1
NX_P22732,,SLC2A5,1,protein level,PE1,0
NX_Q5UAW9,,GPR157,1,transcript level,PE2,1
NX_O95479,,H6PD,1,protein level,PE1,0
NX_Q96BD6,,SPSB1,1,protein level,PE1,0
NX_Q9BSK2,,SLC25A33,1,protein level,PE1,0
NX_Q5SNT2,,TMEM201,1,protein level,PE1,0
NX_O00329,,PIK3CD,1,protein level,PE1,0
NX_Q5SR53,,C1orf200,1,transcript level,PE2,1
NX_O94985,,CLSTN1,1,protein level,PE1,0
NX_Q9NSA3,,CTNNBIP1,1,protein level,PE1,0
NX_Q8WZA0,,LZIC,1,protein level,PE1,0
NX_Q9HAN9,,NMNAT1,1,protein level,PE1,0
NX_Q96R05,,RBP7,1,protein level,PE1,0
NX_O95155,,UBE4B,1,protein level,PE1,0
NX_O60333,,KIF1B,1,protein level,PE1,0
NX_P52209,,PGD,1,protein level,PE1,0
NX_Q8N2Z9,,APITD1,1,protein level,PE1,0
NX_O00230,,CORT,1,transcript level,PE2,1
NX_O00273,,DFFA,1,protein level,PE1,0
NX_O75381,,PEX14,1,protein level,PE1,0
NX_Q86V15,,CASZ1,1,protein level,PE1,0
NX_Q8N9H9,,C1orf127,1,transcript level,PE2,1
NX_Q13148,,TARDBP,1,protein level,PE1,0
NX_O00187,,MASP2,1,protein level,PE1,0
NX_P19623,,SRM,1,protein level,PE1,0
NX_Q01780,,EXOSC10,1,protein level,PE1,0
NX_P42345,,MTOR,1,protein level,PE1,0
NX_O43827,,ANGPTL7,1,protein level,PE1,0
NX_Q9Y5Z9,,UBIAD1,1,protein level,PE1,0
NX_Q9P2K9,,PTCHD2,1,transcript level,PE2,1
NX_Q9UK22,,FBXO2,1,protein level,PE1,0
NX_Q9H4M3,,FBXO44,1,protein level,PE1,0
NX_Q9NRD1,,FBXO6,1,protein level,PE1,0
NX_Q9UI95,,MAD2L2,1,protein level,PE1,0
NX_Q8NBI3,,DRAXIN,1,protein level,PE1,0
NX_Q6RW13,,AGTRAP,1,protein level,PE1,0
NX_Q5SNV9,,C1orf167,1,protein level,PE1,0
NX_P42898,,MTHFR,1,protein level,PE1,0
NX_P51797,,CLCN6,1,protein level,PE1,0
NX_P01160,,NPPA,1,protein level,PE1,0
NX_P16860,,NPPB,1,protein level,PE1,0
NX_Q8IYS2,,KIAA2013,1,protein level,PE1,0
NX_Q02809,,PLOD1,1,protein level,PE1,0
NX_O95140,,MFN2,1,protein level,PE1,0
NX_Q5JXC2,,MIIP,1,protein level,PE1,0
NX_P28908,,TNFRSF8,1,protein level,PE1,0
NX_P20333,,TNFRSF1B,1,protein level,PE1,0
NX_Q5THJ4,,VPS13D,1,protein level,PE1,0
NX_O75911,,DHRS3,1,protein level,PE1,0
NX_Q5VUY2,,AADACL4,1,transcript level,PE2,1
NX_Q5VUY0,,AADACL3,1,transcript level,PE2,1
NX_Q8N1D5,,C1orf158,1,transcript level,PE2,1
NX_O95522,,PRAMEF12,1,protein level,PE1,0
NX_O95521,,PRAMEF1,1,transcript level,PE2,1
NX_O60813,,PRAMEF11,1,transcript level,PE2,1
NX_O60812,,HNRNPCL1,1,protein level,PE1,0
NX_O60811,,PRAMEF2,1,protein level,PE1,0
NX_O60810,,PRAMEF4,1,transcript level,PE2,1
NX_O60809,,PRAMEF10,1,transcript level,PE2,1
NX_Q5VXH5,,PRAMEF7,1,transcript level,PE2,1
NX_A6NMV5,,PRAMEF23,1,transcript level,PE2,1
NX_Q5VXH4,,PRAMEF6,1,transcript level,PE2,1
NX_A3QJZ6,,PRAMEF22,1,transcript level,PE2,1
NX_A6NGN4,,PRAMEF25,1,homology,PE3,1
NX_Q5TYW8,,PRAMEF3,1,transcript level,PE2,1
NX_Q5TYX0,,PRAMEF5,1,transcript level,PE2,1
NX_Q5VWM4,,PRAMEF8,1,transcript level,PE2,1
NX_Q5VWM5,,PRAMEF9,1,transcript level,PE2,1
NX_Q5VWM6,,PRAMEF13,1,homology,PE3,1
NX_Q5VWM3,,PRAMEF18,1,transcript level,PE2,1
NX_Q5VWM1,,PRAMEF16,1,homology,PE3,1
NX_Q5VT98,,PRAMEF21,1,transcript level,PE2,1
NX_A6NMC2,,PRAMEF24,1,homology,PE3,1
NX_Q5VWM5,,PRAMEF15,1,transcript level,PE2,1
NX_Q5SWL7,,PRAMEF14,1,transcript level,PE2,1
NX_Q5SWL8,,PRAMEF19,1,transcript level,PE2,1
NX_Q5VTA0,,PRAMEF17,1,transcript level,PE2,1
NX_Q5VT98,,PRAMEF20,1,transcript level,PE2,1
NX_Q5VT99,,LRRC38,1,protein level,PE1,0
NX_Q86YL7,,PDPN,1,protein level,PE1,0
NX_Q13029,,PRDM2,1,protein level,PE1,0
NX_B1AJZ1,,C1orf196,1,uncertain,PE5,0
NX_Q674X7,,KAZN,1,protein level,PE1,0
NX_Q9NW97,,TMEM51,1,protein level,PE1,0
NX_Q5TG92,,C1orf195,1,transcript level,PE2,1
NX_B1AJZ9,,FHAD1,1,transcript level,PE2,1
NX_Q96C19,,EFHD2,1,protein level,PE1,0
NX_Q99895,,CTRC,1,protein level,PE1,0
NX_P08217,,CELA2A,1,protein level,PE1,0
NX_P08218,,CELA2B,1,transcript level,PE2,1
NX_P55211,,CASP9,1,protein level,PE1,0
NX_Q9Y2G8,,DNAJC16,1,protein level,PE1,0
NX_Q9BSE5,,AGMAT,1,protein level,PE1,0
NX_Q5TDH0,,DDI2,1,protein level,PE1,0
NX_Q92681,,RSC1A1,1,protein level,PE1,0
NX_Q8IWE5,,PLEKHM2,1,protein level,PE1,0
NX_Q6PIV7,,SLC25A34,1,transcript level,PE2,1
NX_A0PJX8,,TMEM82,1,protein level,PE1,0
NX_Q8WUP2,,FBLIM1,1,protein level,PE1,0
NX_Q96T58,,SPEN,1,protein level,PE1,0
NX_Q13105,,ZBTB17,1,protein level,PE1,0
NX_Q8NEQ6,,C1orf64,1,transcript level,PE2,1
NX_Q9UBY9,,HSPB7,1,protein level,PE1,0
NX_P51800,,CLCNKA,1,protein level,PE1,0
NX_P51801,,CLCNKB,1,protein level,PE1,0
NX_Q96AQ9,,FAM131C,1,transcript level,PE2,1
NX_P29317,,EPHA2,1,protein level,PE1,0
NX_Q8IW93,,ARHGEF19,1,protein level,PE1,0
NX_Q5TEV5,,C1orf134,1,predicted,PE4,1
NX_Q9BU20,,RSG1,1,transcript level,PE2,1
NX_Q6P3S6,,FBXO42,1,protein level,PE1,0
NX_Q7Z422,,SZRD1,1,protein level,PE1,0
NX_Q7Z572,,SPATA21,1,transcript level,PE2,1
NX_Q9NVZ3,,NECAP2,1,protein level,PE1,0
NX_Q8IVE0,,CROCCP3,1,uncertain,PE5,0
NX_A6NCW3,,-,1,homology,PE3,1
NX_Q3BBV0,,NBPF1,1,transcript level,PE2,1
NX_Q86T23,,CROCCP2,1,uncertain,PE5,0
NX_A6NEA5,,-,1,homology,PE3,1
NX_Q5TZA2,,CROCC,1,protein level,PE1,0
NX_Q2TV78,,MST1L,1,protein level,PE1,0
NX_P55001,,MFAP2,1,protein level,PE1,0
NX_Q9NQ11,,ATP13A2,1,protein level,PE1,0
NX_P21912,,SDHB,1,protein level,PE1,0
NX_Q9Y2J8,,PADI2,1,protein level,PE1,0
NX_Q9ULC6,,PADI1,1,protein level,PE1,0
NX_Q9ULW8,,PADI3,1,protein level,PE1,0
NX_Q9UM07,,PADI4,1,protein level,PE1,0
NX_Q6TGC4,,PADI6,1,protein level,PE1,0
NX_Q9P258,,RCC2,1,protein level,PE1,0
NX_Q9HCE6,,ARHGEF10L,1,protein level,PE1,0
NX_Q9H568,,ACTL8,1,protein level,PE1,0
NX_Q96ID5,,IGSF21,1,protein level,PE1,0
NX_Q5VTJ3,,KLHDC7A,1,protein level,PE1,0
NX_P23759,,PAX7,1,transcript level,PE2,1
NX_Q8TE23,,TAS1R2,1,transcript level,PE2,1
NX_P30038,,ALDH4A1,1,protein level,PE1,0
NX_Q5TF58,,IFFO2,1,protein level,PE1,0
NX_Q5T4S7,,UBR4,1,protein level,PE1,0
NX_Q8N766,,EMC1,1,protein level,PE1,0
NX_Q9UKD2,,MRTO4,1,protein level,PE1,0
NX_Q8NHP1,,AKR7L,1,transcript level,PE2,1
NX_O95154,,AKR7A3,1,protein level,PE1,0
NX_O43488,,AKR7A2,1,protein level,PE1,0
NX_Q6ZP29,,PQLC2,1,protein level,PE1,0
NX_P47756,,CAPZB,1,protein level,PE1,0
NX_Q5TGZ0,,MINOS1,1,protein level,PE1,0
NX_P41271,,NBL1,1,protein level,PE1,0
NX_P50406,,HTR6,1,protein level,PE1,0
NX_Q5TGY1,,TMCO4,1,protein level,PE1,0
NX_Q9NXI6,,RNF186,1,transcript level,PE2,1
NX_Q5T2D3,,OTUD3,1,protein level,PE1,0
NX_Q9NZK7,,PLA2G2E,1,protein level,PE1,0
NX_P14555,,PLA2G2A,1,protein level,PE1,0
NX_P39877,,PLA2G5,1,protein level,PE1,0
NX_Q9UNK4,,PLA2G2D,1,protein level,PE1,0
NX_Q9BZM2,,PLA2G2F,1,protein level,PE1,0
NX_Q5R387,,PLA2G2C,1,transcript level,PE2,1
NX_Q96LJ8,,UBXN10,1,protein level,PE1,0
NX_Q5TIE3,,VWA5B1,1,protein level,PE1,0
NX_Q7Z7J9,,CAMK2N1,1,protein level,PE1,0
NX_Q969V5,,MUL1,1,protein level,PE1,0
NX_Q6ZT52,,FAM43B,1,protein level,PE1,0
NX_P32320,,CDA,1,protein level,PE1,0
NX_Q9BXM7,,PINK1,1,protein level,PE1,0
NX_P39656,,DDOST,1,protein level,PE1,0
NX_Q9P2E2,,KIF17,1,protein level,PE1,0
NX_Q6ZV89,,SH2D5,1,protein level,PE1,0
NX_Q5SSJ5,,HP1BP3,1,protein level,PE1,0
NX_O43432,,EIF4G3,1,protein level,PE1,0
NX_P42892,,ECE1,1,protein level,PE1,0
NX_Q9H094,,NBPF3,1,transcript level,PE2,1
NX_P05186,,ALPL,1,protein level,PE1,0
NX_P47736,,RAP1GAP,1,protein level,PE1,0
NX_Q86UV5,,USP48,1,protein level,PE1,0
NX_Q5SZI1,,LDLRAD2,1,transcript level,PE2,1
NX_P98160,,HSPG2,1,protein level,PE1,0
NX_P08861,,CELA3B,1,protein level,PE1,0
NX_P09093,,CELA3A,1,protein level,PE1,0
NX_P60953,,CDC42,1,protein level,PE1,0
NX_P56705,,WNT4,1,protein level,PE1,0
NX_Q9NUA8,,ZBTB40,1,protein level,PE1,0
NX_P29322,,EPHA8,1,protein level,PE1,0
NX_P02745,,C1QA,1,protein level,PE1,0
NX_P02747,,C1QC,1,protein level,PE1,0
NX_P02746,,C1QB,1,protein level,PE1,0
NX_P29323,,EPHB2,1,protein level,PE1,0
NX_A8MY62,,LACTBL1,1,transcript level,PE2,1
NX_H3BTG2,,C1orf234,1,transcript level,PE2,1
NX_O60341,,KDM1A,1,protein level,PE1,0
NX_Q86V48,,LUZP1,1,protein level,PE1,0
NX_P28221,,HTR1D,1,transcript level,PE2,1
NX_O43390,,HNRNPR,1,protein level,PE1,0
NX_Q9C0F3,,ZNF436,1,transcript level,PE2,1
NX_Q8NC38,,C1orf213,1,transcript level,PE2,1
NX_O75764,,TCEA3,1,protein level,PE1,0
NX_Q8TDY4,,ASAP3,1,protein level,PE1,0
NX_Q14209,,E2F2,1,protein level,PE1,0
NX_Q02535,,ID3,1,protein level,PE1,0
NX_Q8NDY4,,MDS2,1,transcript level,PE2,1
NX_P62913,,RPL11,1,protein level,PE1,0
NX_Q14241,,TCEB3,1,protein level,PE1,0
NX_Q9GZP4,,PITHD1,1,protein level,PE1,0
NX_O95372,,LYPLA2,1,protein level,PE1,0
NX_Q14376,,GALE,1,protein level,PE1,0
NX_P35914,,HMGCL,1,protein level,PE1,0
NX_P04066,,FUCA1,1,protein level,PE1,0
NX_P34972,,CNR2,1,protein level,PE1,0
NX_Q9NPJ4,,PNRC2,1,protein level,PE1,0
NX_O75494,,SRSF10,1,protein level,PE1,0
NX_Q5VTT5,,MYOM3,1,protein level,PE1,0
NX_Q8N6P7,,IL22RA1,1,protein level,PE1,0
NX_Q8IU57,,IFNLR1,1,protein level,PE1,0
NX_Q8TE85,,GRHL3,1,protein level,PE1,0
NX_Q5TH74,,STPG1,1,protein level,PE1,0
NX_Q6P499,,NIPAL3,1,protein level,PE1,0
NX_Q9UKA8,,RCAN3,1,transcript level,PE2,1
NX_Q5T1S8,,NCMAP,1,transcript level,PE2,1
NX_Q8IYB3,,SRRM1,1,protein level,PE1,0
NX_Q9Y696,,CLIC4,1,protein level,PE1,0
NX_Q13761,,RUNX3,1,protein level,PE1,0
NX_O95926,,SYF2,1,protein level,PE1,0
NX_Q9BUV0,,C1orf63,1,protein level,PE1,0
NX_Q02161,,RHD,1,protein level,PE1,0
NX_O95807,,TMEM50A,1,protein level,PE1,0
NX_P18577,,RHCE,1,protein level,PE1,0
NX_Q8N5G2,,TMEM57,1,protein level,PE1,0
NX_Q5SW96,,LDLRAP1,1,protein level,PE1,0
NX_Q9NR34,,MAN1C1,1,protein level,PE1,0
NX_Q9NZV5,,SEPN1,1,protein level,PE1,0
NX_Q9H019,,MTFR1L,1,protein level,PE1,0
NX_Q9H7T9,,AUNIP,1,protein level,PE1,0
NX_Q86WK9,,PAQR7,1,protein level,PE1,0
NX_P16949,,STMN1,1,protein level,PE1,0
NX_Q99487,,PAFAH2,1,protein level,PE1,0
NX_Q92935,,EXTL1,1,transcript level,PE2,1
NX_Q9BRI3,,SLC30A2,1,protein level,PE1,0
NX_Q969Q1,,TRIM63,1,protein level,PE1,0
NX_Q8N165,,PDIK1L,1,protein level,PE1,0
NX_Q8TAY7,,FAM110D,1,transcript level,PE2,1
NX_O00488,,ZNF593,1,protein level,PE1,0
NX_Q969H4,,CNKSR1,1,protein level,PE1,0
NX_Q7RTX7,,CATSPER4,1,protein level,PE1,0
NX_Q6P2H3,,CEP85,1,protein level,PE1,0
NX_Q9H299,,SH3BGRL3,1,protein level,PE1,0
NX_Q5T124,,UBXN11,1,transcript level,PE2,1
NX_P31358,,CD52,1,protein level,PE1,0
NX_Q8N1P7,,AIM1L,1,protein level,PE1,0
NX_Q8IZ20,,ZNF683,1,transcript level,PE2,1
NX_Q9H9Z2,,LIN28A,1,protein level,PE1,0
NX_Q86SQ9,,DHDDS,1,protein level,PE1,0
NX_P05204,,HMGN2,1,protein level,PE1,0
NX_Q15418,,RPS6KA1,1,protein level,PE1,0
NX_O14497,,ARID1A,1,protein level,PE1,0
NX_Q9NUD9,,PIGV,1,protein level,PE1,0
NX_Q9NUE0,,ZDHHC18,1,protein level,PE1,0
NX_P31947,,SFN,1,protein level,PE1,0
NX_Q9H9Y4,,GPN2,1,protein level,PE1,0
NX_Q96I76,,GPATCH3,1,transcript level,PE2,1
NX_Q9Y266,,NUDC,1,protein level,PE1,0
NX_Q15466,,NR0B2,1,protein level,PE1,0
NX_Q8NAX2,,C1orf172,1,protein level,PE1,0
NX_Q6NT89,,TRNP1,1,transcript level,PE2,1
NX_Q96A09,,FAM46B,1,transcript level,PE2,1
NX_P19634,,SLC9A1,1,protein level,PE1,0
NX_Q8N5D0,,WDTC1,1,protein level,PE1,0
NX_Q9H0R3,,TMEM222,1,protein level,PE1,0
NX_Q8IYJ3,,SYTL1,1,protein level,PE1,0
NX_O95382,,MAP3K6,1,protein level,PE1,0
NX_O75636,,FCN3,1,protein level,PE1,0
NX_Q6UWJ8,,CD164L2,1,protein level,PE1,0
NX_P46089,,GPR3,1,protein level,PE1,0
NX_Q9Y6W5,,WASF2,1,protein level,PE1,0
NX_Q5TGY3,,AHDC1,1,protein level,PE1,0
NX_P09769,,FGR,1,protein level,PE1,0
NX_P09912,,IFI6,1,transcript level,PE2,1
NX_Q8TAV0,,FAM76A,1,protein level,PE1,0
NX_Q86Y82,,STX12,1,protein level,PE1,0
NX_Q12972,,PPP1R8,1,protein level,PE1,0
NX_Q5TEJ8,,THEMIS2,1,protein level,PE1,0
NX_P15927,,RPA2,1,protein level,PE1,0
NX_Q92485,,SMPDL3B,1,protein level,PE1,0
NX_Q9H6D3,,XKR8,1,protein level,PE1,0
NX_Q99504,,EYA3,1,protein level,PE1,0
NX_P25105,,PTAFR,1,protein level,PE1,0
NX_O75937,,DNAJC8,1,protein level,PE1,0
NX_Q9UII2,,ATPIF1,1,protein level,PE1,0
NX_P58004,,SESN2,1,protein level,PE1,0
NX_Q9BUE0,,MED18,1,protein level,PE1,0
NX_Q8IZ21,,PHACTR4,1,protein level,PE1,0
NX_P18754,,RCC1,1,protein level,PE1,0
NX_Q9NX07,,TRNAU1AP,1,protein level,PE1,0
NX_Q9BXW3,,SNHG12,1,uncertain,PE5,0
NX_Q16514,,TAF12,1,protein level,PE1,0
NX_Q8N4Z0,,RAB42,1,uncertain,PE5,0
NX_Q9Y692,,GMEB1,1,protein level,PE1,0
NX_Q9Y5A9,,YTHDF2,1,protein level,PE1,0
NX_P41143,,OPRD1,1,protein level,PE1,0
NX_P11171,,EPB41,1,protein level,PE1,0
NX_Q69YZ2,,TMEM200B,1,transcript level,PE2,1
NX_Q08170,,SRSF4,1,protein level,PE1,0
NX_Q9BV79,,MECR,1,protein level,PE1,0
NX_Q92729,,PTPRU,1,protein level,PE1,0
NX_P21941,,MATN1,1,protein level,PE1,0
NX_Q13571,,LAPTM5,1,protein level,PE1,0
NX_O75056,,SDC3,1,protein level,PE1,0
NX_Q14671,,PUM1,1,protein level,PE1,0
NX_Q4KMZ8,,NKAIN1,1,transcript level,PE2,1
NX_Q96DI7,,SNRNP40,1,protein level,PE1,0
NX_Q9NP64,,ZCCHC17,1,protein level,PE1,0
NX_P05413,,FABP3,1,protein level,PE1,0
NX_Q96SA4,,SERINC2,1,protein level,PE1,0
NX_Q9GZM7,,TINAGL1,1,protein level,PE1,0
NX_O43613,,HCRTR1,1,transcript level,PE2,1
NX_Q9UBV8,,PEF1,1,protein level,PE1,0
NX_Q07092,,COL16A1,1,protein level,PE1,0
NX_O60241,,BAI2,1,protein level,PE1,0
NX_Q6ZMY3,,SPOCD1,1,transcript level,PE2,1
NX_Q12974,,PTP4A2,1,protein level,PE1,0
NX_Q07666,,KHDRBS1,1,protein level,PE1,0
NX_Q9GZU3,,TMEM39B,1,protein level,PE1,0
NX_O60684,,KPNA6,1,protein level,PE1,0
NX_P40222,,TXLNA,1,protein level,PE1,0
NX_Q9BUN5,,CCDC28B,1,protein level,PE1,0
NX_Q4KMZ1,,IQCC,1,protein level,PE1,0
NX_A2VCK2,,DCDC2B,1,transcript level,PE2,1
NX_Q8WY98,,TMEM234,1,transcript level,PE2,1
NX_Q13347,,EIF3I,1,protein level,PE1,0
NX_Q9BTA0,,FAM167B,1,protein level,PE1,0
NX_P06239,,LCK,1,protein level,PE1,0
NX_Q13547,,HDAC1,1,protein level,PE1,0
NX_P49006,,MARCKSL1,1,protein level,PE1,0
NX_Q96PN8,,TSSK3,1,protein level,PE1,0
NX_H3BQW9,,FAM229A,1,transcript level,PE2,1
NX_Q9NW68,,BSDC1,1,protein level,PE1,0
NX_Q8NAP8,,ZBTB8B,1,transcript level,PE2,1
NX_Q96BR9,,ZBTB8A,1,protein level,PE1,0
NX_Q8IWT0,,ZBTB8OS,1,protein level,PE1,0
NX_Q09028,,RBBP4,1,protein level,PE1,0
NX_Q9H7C4,,SYNC,1,protein level,PE1,0
NX_Q9P206,,KIAA1522,1,protein level,PE1,0
NX_P54577,,YARS,1,protein level,PE1,0
NX_Q96BU1,,S100PBP,1,protein level,PE1,0
NX_Q8NAU1,,FNDC5,1,transcript level,PE2,1
NX_P84074,,HPCA,1,protein level,PE1,0
NX_Q969K7,,TMEM54,1,protein level,PE1,0
NX_Q6ZMZ0,,RNF19B,1,protein level,PE1,0
NX_P54819,,AK2,1,protein level,PE1,0
NX_Q96A70,,ADC,1,transcript level,PE2,1
NX_Q9BVG3,,TRIM62,1,protein level,PE1,0
NX_Q5T0B9,,ZNF362,1,protein level,PE1,0
NX_Q8IXK0,,PHC2,1,protein level,PE1,0
NX_P17040,,ZSCAN20,1,protein level,PE1,0
NX_Q7Z408,,CSMD2,1,protein level,PE1,0
NX_Q8WW32,,HMGB4,1,transcript level,PE2,1
NX_Q6P1W5,,C1orf94,1,protein level,PE1,0
NX_Q96EX1,,SMIM12,1,protein level,PE1,0
NX_O95377,,GJB5,1,protein level,PE1,0
NX_Q9NTQ9,,GJB4,1,protein level,PE1,0
NX_O75712,,GJB3,1,protein level,PE1,0
NX_P35212,,GJA4,1,protein level,PE1,0
NX_O95886,,DLGAP3,1,protein level,PE1,0
NX_Q7L0L9,,-,1,transcript level,PE2,1
NX_Q8NCS4,,ZMYM6NB,1,protein level,PE1,0
NX_O95789,,ZMYM6,1,protein level,PE1,0
NX_Q5SVZ6,,ZMYM1,1,protein level,PE1,0
NX_P23246,,SFPQ,1,protein level,PE1,0
