Protein,Anchor,Gene,Chromosome,Source,Score
A1X283,1,ENSG00000174705,5,PICR,3
A1XBS5,1,ENSG00000188343,8,PICR,3
A1XBS5-2,0,ENSG00000188343,8,PICR,3
A1XBS5-3,0,ENSG00000188343,8,PICR,3
A1XBS5-4,0,ENSG00000188343,8,PICR,3
A1XBS5-5,0,ENSG00000188343,8,PICR,3
A1YPR0,1,ENSG00000184828,18,PICR,3
A1Z1Q3,1,ENSG00000172264,20,PICR,3
A1Z1Q3-2,0,ENSG00000172264,20,PICR,3
A1Z1Q3-4,0,ENSG00000172264,20,PICR,3
A1Z1Q3-5,0,ENSG00000172264,20,PICR,3
A1Z1Q3-6,0,ENSG00000172264,20,PICR,3
A2A274,1,ENSG00000100412,22,PICR,3
A2A276,1,ENSG00000171621,1,PICR,3
A2A280,1,ENSG00000205853,22,PICR,3
A2A281,1,ENSG00000100225,22,PICR,3
A2A282,0,ENSG00000100225,22,PICR,3
A2A283,1,ENSG00000100321,22,PICR,3
A2A288,1,ENSG00000178199,6,PICR,3
A2A288-3,0,ENSG00000178199,6,PICR,3
A2A288-4,0,ENSG00000178199,6,PICR,3
A2A296,1,ENSG00000112208,6,PICR,3
A2A297,1,ENSG00000158055,1,PICR,3
A2A299,1,ENSG00000198959,20,PICR,3
A2A2A0,0,ENSG00000198959,20,PICR,3
A2A2A1,1,ENSG00000101425,20,PICR,3
A2A2A2,0,ENSG00000101425,20,PICR,3
A2A2A7,1,ENSG00000124171,20,PICR,3
A2A2B2,1,ENSG00000007516,16,PICR,3
A2A2D0,1,ENSG00000117632,1,PICR,3
A2A2D8,1,ENSG00000101115,20,PICR,3
A2A2D9,1,ENSG00000078699,20,PICR,3
A2A2E0,1,ENSG00000101363,20,PICR,3
A2A2E6,1,ENSG00000040487,1,PICR,3
A2A2E7,1,ENSG00000182035,20,PICR,3
A2A2E9,1,ENSG00000170471,20,PICR,3
A2A2F0,0,ENSG00000170471,20,PICR,3
A2A2F4,1,ENSG00000124225,20,PICR,3
A2A2F5,0,ENSG00000124225,20,PICR,3
A2A2G4,1,ENSG00000088035,1,PICR,3
A2A2G5,1,ENSG00000131067,20,PICR,3
A2A2I8,1,ENSG00000026559,20,PICR,3
A2A2I9,0,ENSG00000026559,20,PICR,3
A2A2J3,0,ENSG00000101342,20,PICR,3
A2A2K8,1,ENSG00000166619,20,PICR,3
A2A2K9,0,ENSG00000166619,20,PICR,3
A2A2L3,1,ENSG00000149451,20,PICR,3
A2A2L4,1,ENSG00000125843,20,PICR,3
A2A2L5,1,ENSG00000022277,20,PICR,3
A2A2L6,0,ENSG00000022277,20,PICR,3
A2A2M0,1,ENSG00000101413,20,PICR,3
A2A2M1,1,ENSG00000244005,20,PICR,3
A2A2M7,1,ENSG00000196227,20,PICR,3
A2A2M9,1,ENSG00000196074,20,PICR,3
A2A2N0,1,ENSG00000125815,20,PICR,3
A2A2N5,1,ENSG00000020256,20,PICR,3
A2A2N6,0,ENSG00000020256,20,PICR,3
A2A2P1,1,ENSG00000132792,20,PICR,3
A2A2P3,1,ENSG00000198768,20,PICR,3
A2A2Q6,1,ENSG00000185019,20,PICR,3
A2A2Q9,1,ENSG00000131043,20,PICR,3
A2A2R0,1,ENSG00000125999,20,PICR,3
A2A2R6,1,ENSG00000087460,20,PICR,3
A2A2R7,1,ENSG00000087510,20,PICR,3
A2A2S1,0,ENSG00000087460,20,PICR,3
A2A2S5,1,ENSG00000125844,20,PICR,3
A2A2U4,1,ENSG00000124588,6,PICR,3
A2A2V1,1,ENSG00000171867,20,PICR,3
A2A2V2,1,ENSG00000188739,1,PICR,3
A2A2V3,1,ENSG00000165181,9,PICR,3
A2A2V4,1,ENSG00000112715,6,PICR,3
A2A2V5,1,ENSG00000180440,13,PICR,3
A2A2Y4,1,ENSG00000172159,9,PICR,3
A2A2Y4-2,0,ENSG00000172159,9,PICR,3
A2A2Y4-3,0,ENSG00000172159,9,PICR,3
A2A2Y4-4,0,ENSG00000172159,9,PICR,3
A2A2Y4-5,0,ENSG00000172159,9,PICR,3
A2A2Y8,1,ENSG00000065618,10,PICR,3
A2A2Z9,1,ENSG00000230453,9,PICR,3
A2A300,0,ENSG00000230453,9,PICR,3
A2A304,1,ENSG00000146350,6,PICR,3
A2A305,1,ENSG00000137073,9,PICR,3
A2A306,0,ENSG00000137073,9,PICR,3
A2A312,1,ENSG00000137166,6,PICR,3
A2A322,1,ENSG00000181191,X,PICR,3
A2A326,1,ENSG00000171940,20,PICR,3
A2A340,0,ENSG00000196074,20,PICR,3
A2A341,0,ENSG00000196074,20,PICR,3
A2A343,1,ENSG00000178031,9,PICR,3
A2A352,1,ENSG00000134871,13,PICR,3
A2A353,1,ENSG00000224821,13,PICR,3
A2A368,1,ENSG00000189023,X,PICR,3
A2A369,1,ENSG00000107099,9,PICR,3
A2A370,0,ENSG00000107099,9,PICR,3
A2A376,1,ENSG00000107201,9,PICR,3
A2A393,1,ENSG00000188523,9,PICR,3
A2A3C1,1,ENSG00000121753,1,PICR,3
A2A3C2,0,ENSG00000121753,1,PICR,3
A2A3C3,0,ENSG00000121753,1,PICR,3
A2A3C4,0,ENSG00000121753,1,PICR,3
A2A3C6,0,ENSG00000121753,1,PICR,3
A2A3D6,1,ENSG00000150076,10,PICR,3
A2A3D8,1,ENSG00000150275,10,PICR,3
A2A3D9,0,ENSG00000150275,10,PICR,3
A2A3E1,0,ENSG00000150275,10,PICR,3
A2A3E2,0,ENSG00000150275,10,PICR,3
A2A3E3,0,ENSG00000150275,10,PICR,3
A2A3E4,0,ENSG00000150275,10,PICR,3
A2A3E5,0,ENSG00000150275,10,PICR,3
A2A3E6,0,ENSG00000150275,10,PICR,3
A2A3E7,0,ENSG00000150275,10,PICR,3
A2A3E8,0,ENSG00000150275,10,PICR,3
A2A3F3,1,ENSG00000083067,9,PICR,3
A2A3F4,0,ENSG00000083067,9,PICR,3
A2A3F7,0,ENSG00000083067,9,PICR,3
A2A3F8,1,ENSG00000119333,9,PICR,3
A2A3F9,0,ENSG00000119333,9,PICR,3
A2A3G7,1,ENSG00000126217,13,PICR,3
A2A3G9,1,ENSG00000068650,13,PICR,3
A2A3H1,0,ENSG00000126217,13,PICR,3
A2A3H2,1,ENSG00000102781,13,PICR,3
A2A3K3,1,ENSG00000269324,HG1502_PATCH,PICR,3
A2A3K4,1,ENSG00000158079,9,PICR,3
A2A3K4-2,0,ENSG00000158079,9,PICR,3
A2A3L6,1,ENSG00000187862,1,PICR,3
A2A3L9,1,ENSG00000096088,6,PICR,3
A2A3M4,1,ENSG00000143375,1,PICR,3
A2A3N6,0,null,10,UniProt,3
A2A3N8,1,ENSG00000087274,4,PICR,3
A2A3P3,1,ENSG00000111860,6,PICR,3
A2A3Q1,1,ENSG00000232671,1,PICR,3
A2A3Q2,1,ENSG00000143373,1,PICR,3
A2A3R5,1,ENSG00000137154,9,PICR,3
A2A3R7,0,ENSG00000137154,9,PICR,3
A2A3S1,1,ENSG00000165637,10,PICR,3
A2A3T8,1,ENSG00000218839,9,PICR,3
A2A3U3,1,ENSG00000125804,20,PICR,3
A2A3U4,0,ENSG00000125804,20,PICR,3
A2A3Z5,1,ENSG00000179630,13,PICR,3
A2A437,1,ENSG00000142949,1,PICR,3
A2A492,1,ENSG00000163141,1,PICR,3
A2A4F6,1,ENSG00000135837,1,PICR,3
A2A5X0,1,ENSG00000143398,1,PICR,3
A2A639,0,ENSG00000126217,13,PICR,3
A2A640,0,ENSG00000126217,13,PICR,3
A2AAS7,1,ENSG00000204248,6,PICR,3
A2AAT0,1,ENSG00000206288,HSCHR6_MHC_QBL,PICR,3
A2AAT3,1,ENSG00000242386,HSCHR6_MHC_MCF,PICR,3
A2AAT8,1,ENSG00000243189,HSCHR6_MHC_MANN,PICR,3
A2AAY8,1,ENSG00000179344,6,PICR,3
A2AAZ0,0,ENSG00000179344,6,PICR,3
A2AAZ2,1,ENSG00000206495,HSCHR6_MHC_QBL,PICR,3
A2AAZ3,1,ENSG00000232839,HSCHR6_MHC_DBB,PICR,3
A2AAZ4,0,ENSG00000206495,HSCHR6_MHC_QBL,PICR,3
A2AAZ5,1,ENSG00000230308,HSCHR6_MHC_APD,PICR,3
A2AAZ6,1,ENSG00000229929,HSCHR6_MHC_SSTO,PICR,3
A2AB05,1,ENSG00000237095,HSCHR6_MHC_MCF,PICR,3
A2AB06,1,ENSG00000231135,HSCHR6_MHC_SSTO,PICR,3
A2AB07,0,ENSG00000231135,HSCHR6_MHC_SSTO,PICR,3
A2AB09,1,ENSG00000206379,HSCHR6_MHC_DBB,PICR,3
A2AB10,1,ENSG00000232280,HSCHR6_MHC_COX,PICR,3
A2AB11,1,ENSG00000137312,6,PICR,3
A2AB12,1,ENSG00000206480,HSCHR6_MHC_QBL,PICR,3
A2AB13,0,ENSG00000232280,HSCHR6_MHC_COX,PICR,3
A2AB15,1,ENSG00000233418,HSCHR6_MHC_DBB,PICR,3
A2AB20,1,ENSG00000233450,HSCHR6_MHC_SSTO,PICR,3
A2AB22,1,ENSG00000112511,6,PICR,3
A2AB23,1,ENSG00000225553,HSCHR6_MHC_SSTO,PICR,3
A2AB25,0,ENSG00000112511,6,PICR,3
A2AB27,1,ENSG00000229470,HSCHR6_MHC_DBB,PICR,3
A2AB88,1,ENSG00000237335,HSCHR6_MHC_COX,PICR,3
A2AB89,1,ENSG00000224841,HSCHR6_MHC_COX,PICR,3
A2AB90,1,ENSG00000231925,6,PICR,3
A2AB93,1,ENSG00000236104,6,PICR,3
A2AB94,1,ENSG00000206206,HSCHR6_MHC_DBB,PICR,3
A2ABB6,1,ENSG00000226916,HSCHR6_MHC_DBB,PICR,3
A2ABC7,1,ENSG00000229071,HSCHR6_MHC_COX,PICR,3
A2ABE9,1,ENSG00000230293,HSCHR6_MHC_DBB,PICR,3
A2ABF0,0,ENSG00000230293,HSCHR6_MHC_DBB,PICR,3
A2ABF1,1,ENSG00000235222,HSCHR6_MHC_COX,PICR,3
A2ABF4,1,ENSG00000227686,HSCHR6_MHC_QBL,PICR,3
A2ABF8,1,ENSG00000236759,HSCHR6_MHC_COX,PICR,3
A2ABF9,0,ENSG00000236759,HSCHR6_MHC_COX,PICR,3
A2ABG0,1,ENSG00000235017,HSCHR6_MHC_COX,PICR,3
A2ABH0,1,ENSG00000204536,6,PICR,3
A2ABH1,1,ENSG00000206457,HSCHR6_MHC_QBL,PICR,3
A2ABH3,0,ENSG00000204536,6,PICR,3
A2ABH4,1,ENSG00000224180,HSCHR6_MHC_MCF,PICR,3
A2ABH5,0,ENSG00000204536,6,PICR,3
A2ABJ5,0,ENSG00000232280,HSCHR6_MHC_COX,PICR,3
A2ABK1,1,ENSG00000229363,HSCHR6_MHC_MCF,PICR,3
A2ABK2,1,ENSG00000206268,HSCHR6_MHC_DBB,PICR,3
A2ABK4,1,ENSG00000231044,HSCHR6_MHC_COX,PICR,3
A2ABL0,1,ENSG00000223680,HSCHR6_MHC_MCF,PICR,3
A2ABL2,1,ENSG00000230456,HSCHR6_MHC_DBB,PICR,3
A2ABL5,1,ENSG00000233149,HSCHR6_MHC_MANN,PICR,3
A2ABL6,1,ENSG00000137411,6,PICR,3
A2ABL9,1,ENSG00000229006,HSCHR6_MHC_SSTO,PICR,3
A2ABM8,0,ENSG00000230456,HSCHR6_MHC_DBB,PICR,3
A2ABN6,1,ENSG00000258388,6,PICR,3
A2ABN7,1,ENSG00000221988,6,PICR,3
A2ABS3,1,ENSG00000206401,HSCHR6_MHC_QBL,PICR,3
A2ABS4,1,ENSG00000235769,HSCHR6_MHC_MCF,PICR,3
A2AC57,1,ENSG00000231179,HSCHR6_MHC_APD,PICR,3
A2ACQ9,1,ENSG00000239836,HSCHR6_MHC_MANN,PICR,3
A2ACR0,0,ENSG00000239836,HSCHR6_MHC_MANN,PICR,3
A2ACR1,0,ENSG00000239836,HSCHR6_MHC_MANN,PICR,3
A2ADX3,1,ENSG00000232629,6,PICR,3
A2AE48,1,ENSG00000234127,6,PICR,3
A2AE50,1,ENSG00000230230,HSCHR6_MHC_COX,PICR,3
A2AE51,1,ENSG00000231002,HSCHR6_MHC_MANN,PICR,3
A2AEA2,1,ENSG00000204525,6,PICR,3
A2AEA4,0,ENSG00000204525,6,PICR,3
A2AH61,1,ENSG00000265763,HG1211_PATCH,PICR,3
A2AH62,0,ENSG00000265763,HG1211_PATCH,PICR,3
A2AH63,0,ENSG00000265763,HG1211_PATCH,PICR,3
A2AH64,0,ENSG00000265763,HG1211_PATCH,PICR,3
A2AH65,0,ENSG00000265763,HG1211_PATCH,PICR,3
A2AH66,0,ENSG00000265763,HG1211_PATCH,PICR,3
A2AJT9,1,ENSG00000173681,X,PICR,3
A2AJT9-2,0,ENSG00000173681,X,PICR,3
A2AJT9-3,0,ENSG00000173681,X,PICR,3
A2APY2,1,ENSG00000206290,HSCHR6_MHC_QBL,PICR,3
A2ARK8,1,ENSG00000206505,HSCHR6_MHC_QBL,PICR,3
A2ARM6,1,ENSG00000168452,HSCHR6_MHC_MANN,PICR,3
A2ARM8,1,ENSG00000231618,HSCHR6_MHC_MCF,PICR,3
A2AVK2,1,ENSG00000176884,9,PICR,3
A2BDY9,1,ENSG00000223980,HSCHR6_MHC_SSTO,PICR,3
A2BDZ2,1,ENSG00000225247,HSCHR6_MHC_SSTO,PICR,3
A2BEC5,1,ENSG00000233931,HSCHR6_MHC_SSTO,PICR,3
A2BEC6,1,ENSG00000236399,HSCHR6_MHC_MCF,PICR,3
A2BED6,1,ENSG00000224143,HSCHR6_MHC_SSTO,PICR,3
A2BED7,0,ENSG00000224143,HSCHR6_MHC_SSTO,PICR,3
A2BEK4,1,ENSG00000230467,HSCHR6_MHC_SSTO,PICR,3
A2BEU2,1,ENSG00000237710,HSCHR6_MHC_DBB,PICR,3
A2BEW4,1,ENSG00000204197,HSCHR6_MHC_QBL,PICR,3
A2BEX1,1,ENSG00000237333,HSCHR6_MHC_SSTO,PICR,3
A2BEX2,0,ENSG00000237333,HSCHR6_MHC_SSTO,PICR,3
A2BEX3,0,ENSG00000237333,HSCHR6_MHC_SSTO,PICR,3
A2BEX4,1,ENSG00000264619,HSCHR6_MHC_APD,PICR,3
A2BEY5,1,ENSG00000241822,HSCHR6_MHC_SSTO,PICR,3
A2BF01,0,ENSG00000237333,HSCHR6_MHC_SSTO,PICR,3
A2BF24,1,ENSG00000206435,HSCHR6_MHC_SSTO,PICR,3
A2BF25,0,ENSG00000206435,HSCHR6_MHC_SSTO,PICR,3
A2BF26,1,ENSG00000206452,HSCHR6_MHC_QBL,PICR,3
A2BF34,1,ENSG00000235441,HSCHR6_MHC_SSTO,PICR,3
A2BF36,1,ENSG00000231939,HSCHR6_MHC_SSTO,PICR,3
A2BFH1,1,ENSG00000263464,HG1287_PATCH,PICR,3
A2BH96,1,ENSG00000203832,1,PICR,3
A2BHY7,1,ENSG00000235134,HSCHR6_MHC_MCF,PICR,3
A2CJ06,1,ENSG00000232125,2,PICR,3
A2IBA6,1,ENSG00000163898,3,PICR,3
A2ID95,1,ENSG00000268013,HG1497_PATCH,PICR,3
A2ID99,1,ENSG00000242173,16,PICR,3
A2IDA2,1,ENSG00000007384,16,PICR,3
A2IDA3,1,ENSG00000103152,16,PICR,3
A2IDB1,1,ENSG00000128245,22,PICR,3
A2IDB2,0,ENSG00000128245,22,PICR,3
A2IDC5,1,ENSG00000086504,16,PICR,3
A2IDC6,0,ENSG00000086504,16,PICR,3
A2IDC7,0,ENSG00000086504,16,PICR,3
A2IDC9,1,ENSG00000103202,16,PICR,3
A2IDD0,0,ENSG00000103202,16,PICR,3
A2IDD5,1,ENSG00000162004,16,PICR,3
A2IDD5-2,0,ENSG00000162004,16,PICR,3
A2IDD5-3,0,ENSG00000162004,16,PICR,3
A2IDD5-4,0,ENSG00000162004,16,PICR,1
A2IDD5-5,0,ENSG00000162004,16,PICR,3
A2IDD5-6,0,ENSG00000162004,16,PICR,3
A2PYH4,1,ENSG00000162669,1,PICR,3
A2PYH4-2,0,ENSG00000162669,1,PICR,3
A2RRB2,1,ENSG00000168916,5,PICR,3
A2RRD2,1,ENSG00000140675,16,PICR,3
A2RRD8,1,ENSG00000182986,19,PICR,3
A2RRF1,1,ENSG00000184459,22,PICR,3
A2RRG0,1,ENSG00000166831,15,PICR,3
A2RRH5,1,ENSG00000184465,6,PICR,3
A2RRH5-2,0,ENSG00000184465,6,PICR,3
A2RRH5-3,0,ENSG00000184465,6,PICR,3
A2RRH5-4,0,ENSG00000184465,6,PICR,3
A2RRL7,1,ENSG00000214128,7,PICR,3
A2RRL7-2,0,ENSG00000214128,7,PICR,3
A2RRL7-3,0,ENSG00000214128,7,PICR,3
A2RRL7-4,0,ENSG00000214128,7,PICR,3
A2RRM7,1,ENSG00000114439,3,PICR,3
A2RRN2,1,ENSG00000180881,12,PICR,3
A2RRP1,1,ENSG00000151779,2,PICR,3
A2RRP1-2,0,ENSG00000151779,2,PICR,3
A2RRQ4,1,ENSG00000116678,1,PICR,3
A2RTX5,1,ENSG00000185418,15,PICR,3
A2RTX5-2,0,ENSG00000185418,15,PICR,3
A2RTY3,1,ENSG00000172653,17,PICR,3
A2RTY3-2,0,ENSG00000172653,17,PICR,3
A2RTY3-3,0,ENSG00000172653,17,PICR,3
A2RTY3-4,0,ENSG00000172653,17,PICR,3
A2RTY3-5,0,ENSG00000172653,17,PICR,3
A2RTY8,1,ENSG00000104361,8,PICR,3
A2RU14,1,ENSG00000150433,11,PICR,3
A2RU30,1,ENSG00000135426,12,PICR,3
A2RU30-2,0,ENSG00000135426,12,PICR,3
A2RU30-3,0,ENSG00000135426,12,PICR,3
A2RU37,1,ENSG00000204446,9,PICR,3
A2RU48,1,ENSG00000179256,12,PICR,3
A2RU49,1,ENSG00000188266,15,PICR,3
A2RU49-2,0,ENSG00000188266,15,PICR,3
A2RU49-3,0,ENSG00000188266,15,PICR,3
A2RU54,1,ENSG00000188816,10,PICR,3
A2RU56,1,ENSG00000205971,7,PICR,3
A2RU67,1,ENSG00000084444,12,PICR,3
A2RUB1,1,ENSG00000180336,17,PICR,3
A2RUB1-1,0,ENSG00000180336,17,PICR,3
A2RUB1-2,0,ENSG00000180336,17,PICR,3
A2RUB1-5,0,ENSG00000180336,17,PICR,3
A2RUB6,1,ENSG00000180376,3,PICR,3
A2RUB6-2,0,ENSG00000180376,3,PICR,3
A2RUB6-3,0,ENSG00000180376,3,PICR,3
A2RUB6-4,0,ENSG00000180376,3,PICR,3
A2RUC4,1,ENSG00000162971,2,PICR,3
A2RUC4-2,0,ENSG00000162971,2,PICR,1
A2RUG3,0,null,Y,UniProt,3
A2RUH7,1,ENSG00000221986,1,PICR,3
A2RUQ5,1,ENSG00000197322,17,PICR,3
A2RUR9,1,ENSG00000170160,17,PICR,3
A2RUR9-2,0,ENSG00000170160,17,PICR,3
A2RUR9-3,0,ENSG00000170160,17,PICR,3
A2RUS2,1,ENSG00000105339,8,PICR,3
A2RUS2-2,0,ENSG00000105339,8,PICR,3
A2RUS2-3,0,ENSG00000105339,8,PICR,3
A2RUS2-4,0,ENSG00000105339,8,PICR,3
A2RUS6,1,ENSG00000160401,9,PICR,3
A2RUT3,1,ENSG00000183396,3,PICR,3
A2RUU4,1,ENSG00000204140,6,PICR,3
A2SY06,1,ENSG00000075413,14,PICR,3
A2T115,1,ENSG00000182346,13,PICR,3
A2T926,1,ENSG00000120802,12,PICR,3
A2TJX0,1,ENSG00000102554,13,PICR,3
A2TKE4,1,ENSG00000155657,2,PICR,3
A2VCK2,1,ENSG00000222046,1,PICR,3
A2VCL2,0,null,6,UniProt,3
A2VCL2-1,0,null,6,UniProt,3
A2VCL2-2,0,null,6,UniProt,3
A2VCN0,0,ENSG00000164334,5,PICR,3
A2VCS9,1,ENSG00000164114,4,PICR,3
A2VDF0,1,ENSG00000148803,10,PICR,3
A2VDF0-2,0,ENSG00000148803,10,PICR,3
